Title,Type,BodyPart,Equipment,Level,BodyGroup,exercise_id,goal_tag,movement_type,equipment_std
Holman Weighted Burpee to Side Delt Raise,Strength,Abdominals,Dumbbell,Intermediate,Core,E00071,FatLoss,Isolation,Dumbbell
Holman Heavy Double Pike,Strength,Abdominals,Dumbbell,Intermediate,Core,E00072,FatLoss,Isolation,Dumbbell
Holman Heavy Double Split Pike,Strength,Abdominals,Dumbbell,Intermediate,Core,E00073,Endurance,Isolation,Dumbbell
MetaBurn Alternating Dumbbell Sit-Through,Strength,Abdominals,Dumbbell,Intermediate,Core,E00074,FatLoss,Isolation,Dumbbell
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,Strength,Abdominals,Dumbbell,Intermediate,Core,E00075,FatLoss,Compound,Dumbbell
MetaBurn Alternating Plank Row With Push-Up,Strength,Abdominals,Dumbbell,Intermediate,Core,E00076,FatLoss,Compound,Dumbbell
MetaBurn Dumbbell Russian Twist,Strength,Abdominals,Dumbbell,Intermediate,Core,E00077,FatLoss,Isolation,Dumbbell
MetaBurn Dumbbell Toe-Touch,Strength,Abdominals,Dumbbell,Intermediate,Core,E00078,FatLoss,Isolation,Dumbbell
MetaBurn Plank To Alternating Row,Strength,Abdominals,Dumbbell,Intermediate,Core,E00079,FatLoss,Compound,Dumbbell
Standing dumbbell knee crunch-,Strength,Abdominals,Dumbbell,Intermediate,Core,E00080,Endurance,Isolation,Dumbbell
MetaBurn Plank With Dumbbell Rotation,Strength,Abdominals,Dumbbell,Intermediate,Core,E00081,Hypertrophy,Isolation,Dumbbell
FYR2 Dumbbell Crab Reach,Strength,Abdominals,Dumbbell,Intermediate,Core,E00082,Endurance,Isolation,Dumbbell
FYR2 Dumbbell Man-Maker,Strength,Abdominals,Dumbbell,Intermediate,Core,E00083,FatLoss,Isolation,Dumbbell
FYR2 Dumbbell Sit-Up Reach,Strength,Abdominals,Dumbbell,Intermediate,Core,E00084,FatLoss,Isolation,Dumbbell
FYR2 Loaded Beast Sprawl,Strength,Abdominals,Dumbbell,Intermediate,Core,E00085,FatLoss,Isolation,Dumbbell
FYR2 Loaded to Unloaded Beast,Strength,Abdominals,Dumbbell,Intermediate,Core,E00086,FatLoss,Isolation,Dumbbell
Lying Leg Pullover,Strength,Abdominals,Dumbbell,Intermediate,Core,E00087,Endurance,Compound,Dumbbell
Landmine twist,Strength,Abdominals,Other,Intermediate,Core,E00088,Endurance,Isolation,Other
Suspended ab fall-out,Strength,Abdominals,Other,Intermediate,Core,E00089,Endurance,Isolation,Other
Decline reverse crunch,Strength,Abdominals,Other,Intermediate,Core,E00090,FatLoss,Isolation,Other
Plate Twist,Strength,Abdominals,Other,Beginner,Core,E00091,FatLoss,Isolation,Other
Weighted Crunches,Strength,Abdominals,Other,Intermediate,Core,E00092,FatLoss,Isolation,Other
Ab Roller,Strength,Abdominals,Other,Intermediate,Core,E00093,FatLoss,Isolation,Other
