Title,Type,BodyPart,Equipment,Level,BodyGroup
Scissor Kick,Stretching,Abdominals,Bodyweight,Intermediate,Core
Toe Touchers,Stretching,Abdominals,Bodyweight,Intermediate,Core
Lower Back Curl,Stretching,Abdominals,Bodyweight,Intermediate,Core
Exercise ball torso rotation,Stretching,Abdominals,Bodyweight,Intermediate,Core
Seated Overhead Stretch,Stretching,Abdominals,Bodyweight,Intermediate,Core
Overhead Stretch,Stretching,Abdominals,Bodyweight,Intermediate,Core
Seated Scissor Kick,Strength,Abdominals,Bodyweight,Intermediate,Core
Partner resistance standing twist,Strength,Abdominals,Bodyweight,Intermediate,Core
Cross Crunch,Strength,Abdominals,Bodyweight,Beginner,Core
Full Moon,Strength,Abdominals,Bodyweight,Beginner,Core
Hanging knee raise with manual resistance,Strength,Abdominals,Bodyweight,Beginner,Core
Straight-Legged Hip Raise,Strength,Abdominals,Bodyweight,Intermediate,Core
Wall mountain climber,Plyometrics,Abdominals,Bodyweight,Intermediate,Core
Skin The Cat To Push-Up,Strength,Abdominals,Bodyweight,Intermediate,Core
Partner lying leg raise with lateral throw down,Strength,Abdominals,Bodyweight,Beginner,Core
Hanging leg raise with throw down,Strength,Abdominals,Bodyweight,Beginner,Core
Partner sit-up with high-five,Strength,Abdominals,Bodyweight,Beginner,Core
Exercise ball knee roll-in,Strength,Abdominals,Bodyweight,Intermediate,Core
Partner lying leg raise with throw down,Strength,Abdominals,Bodyweight,Beginner,Core
Crab toe-touch,Strength,Abdominals,Bodyweight,Intermediate,Core
Side kick-through,Strength,Abdominals,Bodyweight,Intermediate,Core
Partner target sit-up,Strength,Abdominals,Bodyweight,Beginner,Core
Suspended Crunch,Strength,Abdominals,Bodyweight,Beginner,Core
Jump Lunge,Strength,Abdominals,Bodyweight,Intermediate,Core
Side plank hip dip,Strength,Abdominals,Bodyweight,Intermediate,Core
Elbow plank jack,Strength,Abdominals,Bodyweight,Intermediate,Core
Exercise ball V-up,Strength,Abdominals,Bodyweight,Intermediate,Core
Standing torso twist stretch,Strength,Abdominals,Bodyweight,Intermediate,Core
Slalom jumps,Plyometrics,Abdominals,Bodyweight,Intermediate,Core
Bear crawl,Strength,Abdominals,Bodyweight,Intermediate,Core
Crab single-arm reach,Stretching,Abdominals,Bodyweight,Intermediate,Core
Side lunge cross-body heel-touch,Strength,Abdominals,Bodyweight,Intermediate,Core
Alligator Crawl,Strength,Abdominals,Bodyweight,Intermediate,Core
Lying cross-over lower back stretch,Strength,Abdominals,Bodyweight,Intermediate,Core
Half bird dog,Stretching,Abdominals,Bodyweight,Intermediate,Core
Shoulder tap,Strength,Abdominals,Bodyweight,Intermediate,Core
Double crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Flutter kick,Strength,Abdominals,Bodyweight,Intermediate,Core
Sprawl,Strength,Abdominals,Bodyweight,Intermediate,Core
Spider plank jack,Strength,Abdominals,Bodyweight,Intermediate,Core
Pillar-To-Plank,Strength,Abdominals,Bodyweight,Intermediate,Core
Alternating High Knee Raise,Strength,Abdominals,Bodyweight,Intermediate,Core
Sumo Squat Pulse,Strength,Abdominals,Bodyweight,Intermediate,Core
Line-Drill Foot Work,Strength,Abdominals,Bodyweight,Intermediate,Core
Plank Fire Hydrants,Strength,Abdominals,Bodyweight,Intermediate,Core
Banded jumping jack,Strength,Abdominals,Bodyweight,Intermediate,Core
Shin hug,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Bear Crawl Fire Feet,Strength,Abdominals,Bodyweight,Intermediate,Core
Bear crawl up-down,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Crab Kick,Strength,Abdominals,Bodyweight,Intermediate,Core
Bear crawl hold,Strength,Abdominals,Bodyweight,Intermediate,Core
Traveling bear crawl,Strength,Abdominals,Bodyweight,Intermediate,Core
Single-leg V-up,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Bear Crawl Shoulder Tap,Strength,Abdominals,Bodyweight,Intermediate,Core
Alternating single-leg sprawl,Strength,Abdominals,Bodyweight,Intermediate,Core
Wide mountain climber,Strength,Abdominals,Bodyweight,Intermediate,Core
Plank leg raise,Strength,Abdominals,Bodyweight,Intermediate,Core
Glute bridge step-out,Strength,Abdominals,Bodyweight,Intermediate,Core
Knee up-down,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Sprawl,Strength,Abdominals,Bodyweight,Intermediate,Core
Reach crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Push-Up Plank Hold,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Hollow-Body Rock,Strength,Abdominals,Bodyweight,Intermediate,Core
V-up plus knee-to-chest combo,Strength,Abdominals,Bodyweight,Intermediate,Core
Side plank lateral raise,Strength,Abdominals,Bodyweight,Intermediate,Core
Superhero burpee,Strength,Abdominals,Bodyweight,Intermediate,Core
Hollow-body abduction,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Hollow Hold,Strength,Abdominals,Bodyweight,Intermediate,Core
Tip-toe crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Knee-to-nose pulse,Strength,Abdominals,Bodyweight,Intermediate,Core
Plank walk-out,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR V-Up,Strength,Abdominals,Bodyweight,Intermediate,Core
Long sit-up,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Breakdancer,Strength,Abdominals,Bodyweight,Intermediate,Core
Seated leg lift,Strength,Abdominals,Bodyweight,Intermediate,Core
Gorilla burpee,Strength,Abdominals,Bodyweight,Intermediate,Core
Knee-in to V-out,Strength,Abdominals,Bodyweight,Intermediate,Core
Bear crawl push-up,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Front Step,Strength,Abdominals,Bodyweight,Intermediate,Core
Plank reach,Strength,Abdominals,Bodyweight,Intermediate,Core
Eiffel Tower leg raise,Strength,Abdominals,Bodyweight,Intermediate,Core
Straight-arm plank,Strength,Abdominals,Bodyweight,Intermediate,Core
Plank up-down,Strength,Abdominals,Bodyweight,Intermediate,Core
Frog kick,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Knees to Chest,Strength,Abdominals,Bodyweight,Intermediate,Core
Front kick-through,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Sit-Up,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Leg Lift,Strength,Abdominals,Bodyweight,Intermediate,Core
TBS Toes-to-bar,Strength,Abdominals,Bodyweight,Intermediate,Core
FYR Mountain Climber,Strength,Abdominals,Bodyweight,Intermediate,Core
Roman Chair Side Ups,Strength,Abdominals,Bodyweight,Intermediate,Core
Push-Up Roll Out - Gethin Variation,Strength,Abdominals,Bodyweight,Intermediate,Core
Cross-Body Crunch - Gethin Variation,Strength,Abdominals,Bodyweight,Intermediate,Core
Decline leg lift with twist,Strength,Abdominals,Bodyweight,Intermediate,Core
Hanging Leg Raise - Variation Gethin,Strength,Abdominals,Bodyweight,Intermediate,Core
Butterfly crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Cross-body mountain climber,Strength,Abdominals,Bodyweight,Intermediate,Core
Flat Bench Lying Leg Raise - Gethin Variation,Strength,Abdominals,Bodyweight,Intermediate,Core
Lying leg lift,Strength,Abdominals,Bodyweight,Intermediate,Core
Hanging alternating single-leg raise,Strength,Abdominals,Bodyweight,Intermediate,Core
Plank Walk,Strength,Abdominals,Bodyweight,Intermediate,Core
Sit-Up - Gethin Variation,Strength,Abdominals,Bodyweight,Intermediate,Core
Plank Push-Up,Strength,Abdominals,Bodyweight,Intermediate,Core
Decline crunch-,Strength,Abdominals,Bodyweight,Intermediate,Core
Alternating lying leg raise,Strength,Abdominals,Bodyweight,Intermediate,Core
Decline leg lift,Strength,Abdominals,Bodyweight,Intermediate,Core
Crunch - Gethin Variation,Strength,Abdominals,Bodyweight,Intermediate,Core
Plank - Gethin Variation,Strength,Abdominals,Bodyweight,Intermediate,Core
Barbell floor wiper,Strength,Abdominals,Bodyweight,Intermediate,Core
Prison Push-Up,Strength,Abdominals,Bodyweight,Intermediate,Core
McGill Modified Curl-Up,Strength,Abdominals,Bodyweight,Intermediate,Core
Cross-body toe-touch,Strength,Abdominals,Bodyweight,Intermediate,Core
Toy soldier,Strength,Abdominals,Bodyweight,Intermediate,Core
Natural Glute Ham Raise with Stability Ball,Strength,Abdominals,Bodyweight,Intermediate,Core
Lateral ape,Strength,Abdominals,Bodyweight,Intermediate,Core
Hollow-body knee tuck,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Air Jumping Rope,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Alternating Lunge Reach,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Alternating Side Plank Reach,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Superman Plank,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Table Pose,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Toe Touch,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Right Side Bird-Dog,Stretching,Abdominals,Bodyweight,Intermediate,Core
HM Right Side Crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Bicycle,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Bird-Dog Plank,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Boat Pose,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Bottoms Up,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Bridge,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Running Man Crunch,Cardio,Abdominals,Bodyweight,Intermediate,Core
HM Seated Twist,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Side-Bend Pose,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Side-Plank Arm Wrap,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Side-Plank with Hip Touch,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Side-Plank with Kick,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Side V-Up,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Crab Crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Cross-Over Crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Crunch Pulse,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Dead Bug,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Single-Leg Inchworm,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Floor Jack,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Floor Wiper,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Floor Kick,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Sit-Up,Strength,Abdominals,Bodyweight,Intermediate,Core
HM Slow Mountain Climber,Strength,Abdominals,Bodyweight,Intermediate,Core
